ProjectName,Location,StartDate,EndDate,ProjectOwner,LeadAgencyInCharge
Zero Waste Initiative,Nyeri,04/02/2026,05/03/2026,15,8
Forest Restoration Program,Malindi,20/01/2026,07/04/2026,41,50
Sustainable Fisheries Management,Kisii,28/01/2026,07/04/2026,5,14
Pollution Monitoring System,Bomet,04/02/2026,08/07/2026,5,35
Natural Disaster Preparedness Project,Bomet,06/01/2026,01/07/2026,37,47
Green Infrastructure Development,Machakos,22/01/2026,23/02/2026,46,28
Wildlife Conservation Project,Nakuru,17/01/2026,15/03/2026,25,45
Waste Management Innovation,Kilifi,05/01/2026,19/06/2026,36,13
Wildlife Conservation Project,Kakamega,18/01/2026,07/05/2026,19,35
Eco-Friendly Transportation Plan,Eldoret,03/02/2026,26/04/2026,32,41
Sustainable Tourism Promotion,Narok,06/02/2026,02/06/2026,18,9
Waste Management Innovation,Nyamira,06/02/2026,12/05/2026,4,4
Renewable Energy Incentive Program,Moyale,31/01/2026,16/03/2026,29,1
Habitat Restoration Project,Kajiado,03/01/2026,24/05/2026,45,23
Eco-Tech Incubator,Nandi,19/01/2026,15/03/2026,11,30
Clean Energy Transition Plan,Trans Nzoia,13/01/2026,29/03/2026,41,23
Waste Management Innovation,Kirinyaga,05/01/2026,28/04/2026,41,31
Greenhouse Gas Reduction Project,Homa Bay,27/01/2026,31/03/2026,43,5
Green Building Certification Project,Meru,11/01/2026,25/06/2026,5,47
Environmental Education Campaign,Marsabit,02/02/2026,03/05/2026,17,20
Green Roofs Implementation,Nairobi,31/01/2026,24/04/2026,31,37
Sustainable Land Use Planning,Wajir,12/01/2026,03/06/2026,31,37
Water Quality Improvement Project,Thika,18/01/2026,14/06/2026,17,24
Zero Waste Initiative,Meru,16/01/2026,22/05/2026,22,6
Water Conservation Strategy,Nandi,08/01/2026,20/04/2026,28,1
Green Infrastructure Development,Nyeri,03/01/2026,01/05/2026,4,1
Renewable Energy Initiative,Embu,02/01/2026,12/07/2026,29,30
Eco-Friendly Transportation Plan,Nandi,21/01/2026,19/03/2026,39,10
Pollution Monitoring System,Murang'a,02/02/2026,08/05/2026,32,30
Climate Resilient Infrastructure,Kajiado,10/01/2026,18/03/2026,51,24
Urban Greening Initiative,Meru,18/01/2026,29/06/2026,30,11
Climate Change Resilience Project,Uasin Gishu,14/01/2026,26/03/2026,35,15
Renewable Energy Initiative,Taita Taveta,16/01/2026,02/05/2026,3,43
Climate Resilient Infrastructure,Nandi,02/01/2026,17/05/2026,6,2
Climate Change Resilience Project,Kisumu,23/01/2026,10/03/2026,19,41
Sustainable Tourism Promotion,Mombasa,01/01/2026,13/04/2026,11,44
Carbon Footprint Reduction Campaign,Bungoma,27/01/2026,23/05/2026,44,10
Energy Efficiency Retrofit Program,Thika,26/01/2026,07/03/2026,9,45
Renewable Energy Investment,Malindi,05/01/2026,15/07/2026,50,23
Natural Disaster Preparedness Project,Uasin Gishu,13/01/2026,27/04/2026,43,27
Climate Resilient Infrastructure,Siaya,03/01/2026,24/05/2026,51,17
Wildlife Conservation Project,Marsabit,17/01/2026,08/04/2026,51,48
Eco-Tourism Development,Homa Bay,21/01/2026,14/05/2026,33,8
Green Building Certification Project,Nandi,04/02/2026,31/05/2026,7,8
Sustainable Fisheries Management,Taita Taveta,02/01/2026,01/07/2026,24,41
Renewable Energy Incentive Program,Bomet,05/01/2026,05/03/2026,26,5
Waste Management Innovation,Wajir,02/01/2026,02/03/2026,50,11
Urban Greening Initiative,Eldoret,07/02/2026,27/03/2026,36,24
Marine Conservation Project,Tana River,01/02/2026,06/05/2026,42,7
Water Conservation Strategy,Meru,19/01/2026,24/04/2026,22,25
